,ndcg,recall,precision,nrecs
Bias,0.024342235127932203,0.029850746268656716,,10.0
BiasedMF,0.018833723987207687,0.04477611940298507,,10.0
HPF,0.039052162275368806,0.05970149253731343,,10.0
II,0.038461538461538464,0.038461538461538464,,4.423076923076923
Pop,0.03562466876469465,0.04477611940298507,,10.0
SVD,0.029850746268656716,0.029850746268656716,,10.0
UU,0.05263157894736842,0.05263157894736842,,7.421052631578948
Bias,0.02126592320900458,0.0319634703196347,,10.0
BiasedMF,0.026453483403571804,0.0365296803652968,,10.0
HPF,0.019064017093963482,0.0365296803652968,,10.0
II,0.010945837272291663,0.020134228187919462,,5.053691275167785
Pop,0.03379131131102542,0.0547945205479452,,10.0
SVD,0.017392835331808302,0.0319634703196347,,10.0
UU,0.0,0.0,,5.98876404494382
Bias,0.006093529110897514,0.014973385790326314,,10.0
BiasedMF,0.0030942710319669213,0.005785697755149271,,10.0
HPF,0.03260056880152668,0.059201337230873216,,10.0
II,0.0061318106129585655,0.012384602703593801,,9.942631058358062
Pop,0.04960509715176881,0.08248896584785267,,10.0
SVD,0.0009209363008747026,0.002251600709712258,,10.0
UU,0.00056672647678895,0.0008805851582055548,,9.766761095372994
Bias,0.002687075544652171,0.00463443685970366,,10.0
BiasedMF,0.0018741931044271725,0.0035811193368159044,,10.0
HPF,0.0357094387838963,0.059162669543882884,,10.0
II,0.003485404841232279,0.0069652341863833895,,9.967712860131982
Pop,0.038250773207867204,0.06317414407141356,,10.0
SVD,0.000678597854932539,0.0012027804103085325,,10.0
UU,0.00031825988718714156,0.0006025081553782459,,9.84894259818731
Bias,0.0015015988309640168,0.002731087123207682,,10.0
BiasedMF,0.0017482598561392936,0.0031783610707016834,,10.0
HPF,0.0417086957326388,0.06507003658408209,,10.0
II,0.0033444499331203243,0.006558757199890288,,9.969463322463657
Pop,0.03733895540950987,0.06274555502318695,,10.0
SVD,0.0007671126096648085,0.0015331854745753036,,10.0
UU,0.0003698402764294436,0.0005740808598998413,,9.854085745694393
