,ndcg,recall,precision,nrecs
Bias,0.009416861993603844,0.014925373134328358,,10.0
BiasedMF,0.010633050361433498,0.029850746268656716,,10.0
HPF,0.021353381463781986,0.029850746268656716,,10.0
II,0.0050145233881176195,0.012345679012345678,,5.037037037037037
Pop,0.021353381463781986,0.029850746268656716,,10.0
SVD,0.014925373134328358,0.014925373134328358,,10.0
UU,0.0,0.0,,7.705882352941177
Bias,0.02847813676239479,0.045662100456621,,10.0
BiasedMF,0.025820314008480765,0.0410958904109589,,10.0
HPF,0.02932037067779509,0.0502283105022831,,10.0
II,0.030693448607960194,0.05517241379310345,,5.124137931034483
Pop,0.030744778922627357,0.0547945205479452,,10.0
SVD,0.028262349884473743,0.0410958904109589,,10.0
UU,0.014784431768908878,0.022727272727272728,,6.261363636363637
Bias,0.005303185085334628,0.013304969638862256,,10.0
BiasedMF,0.003354256467391095,0.006119339659029546,,10.0
HPF,0.027789418830786325,0.04811517120155167,,10.0
II,0.005953316198684018,0.012036336292630864,,9.945277252219473
Pop,0.04845549793154237,0.07997731868725273,,10.0
SVD,0.0010873334286926027,0.0023369397516007097,,10.0
UU,0.00045120304144181836,0.0008046080731516573,,9.775311315646995
Bias,0.002432118947169248,0.0048656480934627265,,10.0
BiasedMF,0.0019033361885383649,0.003548308083929659,,10.0
HPF,0.03938662166180752,0.06400806495508929,,10.0
II,0.003243083453126102,0.006424348740397408,,9.96829535213081
Pop,0.039081603224057807,0.06468217723265315,,10.0
SVD,0.0008559646030493318,0.001683369883542944,,10.0
UU,0.00038008416924299054,0.000707860706824813,,9.853602320401928
Bias,0.0016111669476818835,0.003695529476720195,,10.0
BiasedMF,0.0015970544780452788,0.002995043190511601,,10.0
HPF,0.03394690211450053,0.053987013337399574,,10.0
II,0.0033233174164923646,0.0064541910925525175,,9.969840592520345
Pop,0.038631182814469284,0.06444806864616252,,10.0
SVD,0.000911584098289199,0.0017901677539271822,,10.0
UU,0.0002569937112362877,0.0004963184274542457,,9.853896262918157
