,ndcg,recall,precision,nrecs
Bias,0.012836619728451033,0.023391812865497075,,10.0
BiasedMF,0.03970388514991847,0.058479532163742694,,10.0
HPF,0.11631425967679132,0.15789473684210525,,10.0
II,0.018346542284656733,0.04263565891472868,,9.255813953488373
Pop,0.08021344493228433,0.14912280701754385,,10.0
SVD,0.019711551641333792,0.023391812865497075,,10.0
UU,0.03754299765595945,0.08854166666666666,,8.59375
Bias,0.03470266957131317,0.03611111111111111,,10.0
BiasedMF,0.0351549377930374,0.04722222222222222,,10.0
HPF,0.06550928241301224,0.14814814814814817,,10.0
II,0.024119948982300746,0.05555555555555556,,8.786666666666667
Pop,0.057551922287730976,0.08888888888888889,,10.0
SVD,0.026520586747050462,0.03333333333333333,,10.0
UU,0.03980415185432732,0.09333333333333334,,8.32
Bias,0.03032448098701795,0.049479166666666664,,10.0
BiasedMF,0.038561772693668395,0.07682291666666667,,10.0
HPF,0.10094534408181789,0.1640625,,10.0
II,0.0453531308469293,0.095125786163522,,9.150943396226415
Pop,0.07273420610615683,0.10572916666666667,,10.0
SVD,0.031134394563264438,0.061197916666666664,,10.0
UU,0.030015708520633278,0.07004830917874395,,9.130434782608695
Bias,0.011598183563582038,0.01796945193171608,,10.0
BiasedMF,0.020406707058311522,0.02976190476190476,,10.0
HPF,0.08100390981335501,0.1289308176100629,,10.0
II,0.025860574584905295,0.051759834368530024,,9.229813664596273
Pop,0.033569473701805824,0.06356693620844564,,10.0
SVD,0.010226329065665112,0.016397124887690927,,10.0
UU,0.013339746750704044,0.022422561257512713,,9.20388349514563
Bias,0.039717240659388635,0.0532520325203252,,10.0
BiasedMF,0.03750139418378796,0.06091632791327913,,10.0
HPF,0.06726371115107098,0.09284988385598142,,10.0
II,0.029249583008420506,0.056032338308457705,,8.789179104477611
Pop,0.03829985433519784,0.05860191637630662,,10.0
SVD,0.02650655085585102,0.034722222222222224,,10.0
UU,0.007973411875246451,0.01676829268292683,,8.826219512195122
Bias,0.022110679884797667,0.03126897389192471,,10.0
BiasedMF,0.015386361000002095,0.025713418336369153,,10.0
HPF,0.08910097603057295,0.1286283141064562,,10.0
II,0.020683399634848984,0.038636076349386934,,9.728668941979523
Pop,0.06469260031297284,0.09331208257437765,,10.0
SVD,0.011838044671187658,0.024908925318761384,,10.0
UU,0.0019463960846810879,0.0029464087169223927,,9.227484989993329
Bias,0.01025077420472314,0.015688545688545687,,10.0
BiasedMF,0.007135119729060863,0.013313223938223939,,10.0
HPF,0.09773114841126684,0.13885479867622724,,10.0
II,0.009994799638851123,0.017553208987137737,,9.87427218000592
Pop,0.06887128499656704,0.11629343629343629,,10.0
SVD,0.006473465456533396,0.010363577863577863,,10.0
UU,0.001886695467378801,0.00385713501345193,,9.66595289079229
