,ndcg,recall,precision,nrecs
Bias,0.015276179300694543,0.023391812865497075,,10.0
BiasedMF,0.03669995488789212,0.07602339181286549,,10.0
HPF,0.1010915320507378,0.1695906432748538,,10.0
II,0.03306911479681003,0.08333333333333333,,9.152173913043478
Pop,0.09938293206374628,0.14619883040935674,,10.0
SVD,0.034804356687110946,0.05555555555555555,,10.0
UU,0.13718057254721897,0.22916666666666666,,8.6875
Bias,0.022155804025981576,0.03981481481481481,,10.0
BiasedMF,0.03275243443208967,0.04907407407407407,,10.0
HPF,0.13246854162395308,0.19074074074074077,,10.0
II,0.03590886470148406,0.09100877192982455,,9.131578947368421
Pop,0.09672510428094984,0.15462962962962962,,10.0
SVD,0.025476104286556615,0.05092592592592592,,10.0
UU,0.03877833523805319,0.07575757575757575,,8.840909090909092
Bias,0.011312928593541069,0.023697916666666666,,10.0
BiasedMF,0.014966756125543264,0.033854166666666664,,10.0
HPF,0.051617121982413985,0.08619791666666667,,10.0
II,0.020875404362528292,0.059748427672955975,,8.971698113207546
Pop,0.019905282514831313,0.03802083333333334,,10.0
SVD,0.010812774654142524,0.025651041666666666,,10.0
UU,0.01611372792649453,0.03515625,,9.03125
Bias,0.010542060252680846,0.01965408805031446,,10.0
BiasedMF,0.02535596182804309,0.04292452830188679,,10.0
HPF,0.052234389092408316,0.08034591194968553,,10.0
II,0.02824122281411942,0.05656565656565657,,9.224242424242425
Pop,0.028848655745333834,0.05628930817610063,,10.0
SVD,0.011761043161244884,0.01965408805031446,,10.0
UU,0.007578635632672108,0.011096938775510204,,9.044642857142858
Bias,0.048233547054053874,0.0649390243902439,,10.0
BiasedMF,0.0394701674254752,0.06262703252032521,,10.0
HPF,0.06225868568382874,0.10385210994967092,,10.0
II,0.035494251115060306,0.051734820322180915,,8.847583643122677
Pop,0.04525564568218496,0.0687137049941928,,10.0
SVD,0.042612858220435444,0.0483570460704607,,10.0
UU,0.008119654836081666,0.014752298613970082,,8.752161383285303
Bias,0.018630899927733226,0.030151791135397694,,10.0
BiasedMF,0.014187627366333116,0.02411961141469338,,10.0
HPF,0.09706653732938958,0.13332422586520948,,10.0
II,0.018426892840978384,0.0345393698301446,,9.69975374123887
Pop,0.06698196285699128,0.09727383120825743,,10.0
SVD,0.011234999641126972,0.020649666059502123,,10.0
UU,0.0031985805280863645,0.004614233455271034,,9.25141336880612
Bias,0.009283518108045183,0.012080115830115831,,10.0
BiasedMF,0.006324368611337526,0.011402831402831404,,10.0
HPF,0.1109032223935531,0.15106200588343446,,10.0
II,0.009134401032930553,0.0172166953188851,,9.877885184454527
Pop,0.06910631594108234,0.11315637065637066,,10.0
SVD,0.005310197770831987,0.011224259974259973,,10.0
UU,0.0015279447705227117,0.0029560062056737586,,9.642287234042554
