,ndcg,recall,precision,nrecs
Bias,0.003471606974645403,0.00556398583712696,,10.0
BiasedMF,0.001938601431522492,0.0023857696847074694,,10.0
HPF,0.01037742228311415,0.017382939518751354,,10.0
II,0.0027471184988866228,0.005706214689265536,,9.807627118644067
Pop,0.015205576092971906,0.019961702435147048,,10.0
SVD,0.0034488211913297024,0.006211913192186333,,10.0
UU,0.0007152079563320473,0.001906379765949415,,9.881087202718007
Bias,0.0024724151901721445,0.003932623942735166,,10.0
BiasedMF,0.0012600535034689728,0.0019014717447477813,,10.0
HPF,0.005320225091795924,0.008123405074871203,,10.0
II,0.001366136549966101,0.0017625626233490207,,9.94240170031881
Pop,0.006875106848809072,0.009868473847240279,,10.0
SVD,0.002013767265422634,0.002631325533246666,,10.0
UU,0.00021525804134159239,0.00020536812510982256,,9.935116851168512
Bias,0.0008627604068409283,0.00147264130128805,,10.0
BiasedMF,0.0002468321524790191,0.00038439884661325784,,10.0
HPF,0.008139451995372703,0.012186641712125017,,10.0
II,0.00017076990375504398,0.00023283422125216114,,9.975028749794644
Pop,0.011759428070133283,0.018698661229416942,,10.0
SVD,0.0005124884063807076,0.0007587803721371384,,10.0
UU,4.470072295254609e-05,7.799233898037358e-05,,9.980689491766379
Bias,0.0009498458820551882,0.001700873286092593,,10.0
BiasedMF,0.0005996746074996743,0.0011941585945190992,,10.0
HPF,0.011606554829158615,0.016702166101324925,,10.0
II,0.0003664790093641562,0.0007229658473270058,,9.974378194207837
Pop,0.01218841651729508,0.018401741273762103,,10.0
SVD,0.0006940263556655573,0.0006506993388627676,,10.0
UU,0.00025426411581541675,0.0003414634146341463,,9.978439024390244
Bias,0.0008588349972470905,0.0012945037592924917,,10.0
BiasedMF,0.0004979466246644715,0.0008860973649706044,,10.0
HPF,0.011876533221383873,0.017061578681296992,,10.0
II,0.00040442940787219597,0.000587772605809844,,9.981445565037497
Pop,0.011892900211115406,0.017824162190359375,,10.0
SVD,0.0006541703014720351,0.0007038728869714786,,10.0
UU,2.697155118772863e-05,4.6373585605639025e-05,,9.982841773325914
Bias,0.0008252186345639648,0.0016900505856205941,,10.0
BiasedMF,0.0003704145848634018,0.0005583507178794944,,10.0
HPF,0.013010582646580827,0.01858398245378243,,10.0
II,0.00037938233906831644,0.0005692609521424248,,9.977897439108384
Pop,0.012692693973034207,0.019581402528696674,,10.0
SVD,0.0005263610508397683,0.0005494880080718834,,10.0
UU,9.565902879474961e-05,0.00017106329341856486,,9.979202304852796
