,ndcg,recall,precision,nrecs
Bias,0.019059814489569053,0.032343311506080455,,10.0
BiasedMF,0.010104014657791647,0.01891955098222638,,10.0
HPF,0.031113007312439774,0.051824134705332085,,10.0
II,0.01340819322720786,0.021753352960418713,,9.547595682041218
Pop,0.038142333523134495,0.06067976301839725,,10.0
SVD,0.010639151385710342,0.017142188961646397,,10.0
UU,0.007048566887777934,0.011111111111111112,,9.435185185185185
Bias,0.011729204186322966,0.017777583050979474,,10.0
BiasedMF,0.010181131818025095,0.01783502745647856,,10.0
HPF,0.01480268727368468,0.02486995031684832,,10.0
II,0.010963171368311667,0.0192262996941896,,9.597798165137615
Pop,0.017552491892640677,0.031851462398255245,,10.0
SVD,0.00906984863367526,0.013176188807103634,,10.0
UU,0.004605227097393731,0.006452307858027684,,9.569558894813378
Bias,0.004894325893341209,0.009249273649480475,,10.0
BiasedMF,0.004058152927236879,0.0070661184156530586,,10.0
HPF,0.00994491575018535,0.016343590176504934,,10.0
II,0.007467597930606994,0.014470271724509013,,9.833069679849341
Pop,0.023779774189249318,0.04231059193756785,,10.0
SVD,0.0013945363307883772,0.0021876692766041265,,10.0
UU,0.0016326055166999214,0.002281697089294524,,9.301307350764677
Bias,0.003590616961418017,0.00644133186286415,,10.0
BiasedMF,0.002276490597279749,0.0035924637127223453,,10.0
HPF,0.009137907096096246,0.014407258030624157,,10.0
II,0.004225525215762051,0.008063239989827348,,9.90420752211139
Pop,0.018346808469256747,0.03126968864894229,,10.0
SVD,0.0008290034486804158,0.0011297264369921208,,10.0
UU,0.0007026440535202667,0.001065891472868217,,9.338204483553321
Bias,0.0035525261979068943,0.005129635835052349,,10.0
BiasedMF,0.001598323000728226,0.0025707358413033167,,10.0
HPF,0.008544274807550212,0.013079286173714717,,10.0
II,0.0038533393342182697,0.0072330810083837665,,9.872950640493158
Pop,0.014509510087515809,0.024311087063674814,,10.0
SVD,0.00020159781817173585,0.0005331767517310567,,10.0
UU,0.0006570006485811842,0.0011845629904831132,,9.300044421112142
