,ndcg,recall,precision,nrecs
Bias,0.02192273937684889,0.032499220455254135,,10.0
BiasedMF,0.011934916803420315,0.023183660742126598,,10.0
HPF,0.025515587581001187,0.04288387010557263,,10.0
II,0.014689496207259876,0.028828382838283827,,9.517821782178217
Pop,0.03575752282042401,0.0571718116619894,,10.0
SVD,0.014085714806862699,0.02581072653570315,,10.0
UU,0.007468099879029693,0.010094212651413189,,9.4185733512786
Bias,0.010316335067107454,0.014783519436516282,,10.0
BiasedMF,0.006851262913717038,0.012145944953515932,,10.0
HPF,0.013391171153558012,0.02358920434630214,,10.0
II,0.010509392370670076,0.018927025355596785,,9.610018552875696
Pop,0.018288901105176357,0.03181446430657787,,10.0
SVD,0.009265594520009116,0.012820673309632298,,10.0
UU,0.0038626505672509815,0.0060808539250294166,,9.51991931417045
Bias,0.004729617163639712,0.007610676121534446,,10.0
BiasedMF,0.0038002776708903254,0.006564942419573827,,10.0
HPF,0.012715156895978278,0.020249175161274436,,10.0
II,0.006920472886301823,0.013049533273110508,,9.837699488105992
Pop,0.02199566552186341,0.03923799440493191,,10.0
SVD,0.0020588726012955886,0.0038976707539272173,,10.0
UU,0.0010726082822608586,0.001855036855036855,,9.308722358722358
Bias,0.0024866286894075357,0.0038170929213542297,,10.0
BiasedMF,0.0019114037778317106,0.0029874545621040977,,10.0
HPF,0.009359752553805858,0.015136454143170788,,10.0
II,0.0042021084049457865,0.008071084870570731,,9.898867199638408
Pop,0.018646819568019748,0.031052159629958467,,10.0
SVD,0.00029192319189850054,0.0006380217146360787,,10.0
UU,0.0008230486262105516,0.0012816515986005751,,9.327392704977658
Bias,0.003768881335354828,0.006368992538804671,,10.0
BiasedMF,0.0011751339436533912,0.002092434382778483,,10.0
HPF,0.006685365967715853,0.010138291545789017,,10.0
II,0.0037305775943423823,0.006754800504663764,,9.874001794035925
Pop,0.01413506382323629,0.02382506583156479,,10.0
SVD,0.0003153449781574006,0.0006326456927933181,,10.0
UU,0.0006431023512969318,0.0011254711900915454,,9.320718901453958
